订单日期,产品名称,顾客姓名,订单单号,区域,目的省份,目的城市,快递公司,产品类别,产品子类别,销售数量,销售金额,收款方式
2017/12/28,伊朗开心果190g,Stewart Carmichael,10021248480,华南,广东省,广州市,圆通,坚果炒货,磕壳坚果,34,996.268,应收票据
2017/9/23,小米锅巴五香味90g,Richard Bierner,10021248525,华南,广东省,江门市,顺丰,坚果炒货,特惠炒货,20,117.6,应收票据
2017/11/21,蟹黄风味豆瓣120g,Guy Thornton,10021248532,东北,吉林省,长春市,顺丰,坚果炒货,果果仁仁,40,172.8,应收账款
2017/6/15,西瓜子奶油味218g,Pierre Wener,10021248537,东北,黑龙江,绥化市,顺丰,坚果炒货,磕壳坚果,25,312.825,应收账款
2017/4/11,葵花籽奶油味190g,Ricardo Block,10021248621,华南,海南省,海口市,圆通,坚果炒货,磕壳坚果,9,67.545,应收票据
2017/12/28,多味葵花籽180g,Liz Willingham,10021248654,华北,北京市,北京市,韵达,坚果炒货,磕壳坚果,7,49.35,应收账款
2016/5/14,炒米（蛋黄味）240g,Benjamin Farhat,10021248657,东北,辽宁省,鞍山市,圆通,坚果炒货,特惠炒货,46,587.466,应收账款
2016/6/24,爆米花（焦糖味）118g,Shirley Jackson,10021248691,华东,安徽省,安庆市,顺丰,坚果炒货,特惠炒货,49,441.441,应收账款
2017/12/26,葵花籽奶油味190g,Joel Eaton,10021248748,西北,甘肃省,嘉峪关市,申通,坚果炒货,磕壳坚果,1,7.189,预付账款
2017/5/21,自然开心果210g,Daniel Byrd,10021248786,华南,广西省,北海市,顺丰,坚果炒货,磕壳坚果,43,1931.13,应收票据
2016/9/5,青豌豆蒜香味120g,Sarah Bern,10021248788,华北,北京市,北京市,申通,坚果炒货,特惠炒货,28,181.608,预付账款
2017/8/30,奶油味黑葵花籽150g,Jim Radford,10021248795,华东,安徽省,蚌埠市,申通,坚果炒货,磕壳坚果,20,188.1,应收账款
2017/8/11,甘栗仁100g,Andy Yotov,10021248839,华北,河北省,邯郸市,申通,坚果炒货,果果仁仁,7,48.3,预付账款
2017/10/15,爆米花（焦糖味）118g,Allen Rosenblatt,10021248890,华北,内蒙古,巴彦淖尔市,圆通,坚果炒货,特惠炒货,32,316.8,预付账款
2017/1/3,奶香夏威夷果280g,Nora Paige,10021248912,华南,广东省,广州市,圆通,坚果炒货,磕壳坚果,19,545.376,应收票据
2017/4/16,精装纸皮核桃380g,Pamela Stobb,10021248919,西南,四川省,成都市,中通,坚果炒货,磕壳坚果,25,967.575,预付账款
2017/9/19,爆米花（奶油味）118g,Jim Radford,10021248921,西北,青海省,西宁市,圆通,坚果炒货,特惠炒货,9,72.09,预付账款
2017/8/2,小米锅巴五香味90g,Victoria Pisteka,10021248927,华南,广东省,揭阳市,顺丰,坚果炒货,特惠炒货,12,71.28,应收票据
2017/10/2,甘栗仁150g,Daniel Lacy,10021248932,华北,河北省,石家庄市,顺丰,坚果炒货,果果仁仁,23,296.7,预付账款
2017/5/2,精装纸皮核桃380g,Mitch Willingham,10021248954,华北,内蒙古,鄂尔多斯市,顺丰,坚果炒货,磕壳坚果,11,438.9,应收账款
2017/7/26,蛋花玉米65g,Kean Thornton,10021248966,西北,甘肃省,嘉峪关市,圆通,坚果炒货,特惠炒货,22,50.05,预付账款
2017/9/19,椰香玉米65g,Ricardo Block,10021248976,华南,河南省,郑州市,韵达,坚果炒货,特惠炒货,33,74.25,应收票据
2017/2/24,炭烧腰果120g,Sean Wendt,10021248999,华东,安徽省,阜阳市,圆通,坚果炒货,果果仁仁,26,297.024,应收账款
2016/11/23,东北红松218g,Nona Balk,10021249032,华南,海南省,海口市,顺丰,坚果炒货,磕壳坚果,3,80.73,应收票据
2016/11/23,东北红松218g,Nona Balk,10021249032,华南,海南省,海口市,顺丰,坚果炒货,磕壳坚果,3,80.73,应收票据
2016/10/29,自然开心果210g,Cathy Armstrong,10021249057,华北,天津市,天津市,圆通,坚果炒货,磕壳坚果,7,335.328,应收账款
2016/10/29,自然开心果210g,Cathy Armstrong,10021249057,华北,天津市,天津市,圆通,坚果炒货,磕壳坚果,7,335.328,应收账款
2016/4/18,多味花生148g,Justin Knight,10021249067,华南,广东省,佛山市,申通,坚果炒货,特惠炒货,8,36.456,应收票据
2016/2/21,爆米花（焦糖味）118g,Mike Vittorini,10021249073,西北,新疆,克拉玛依市,EMS,坚果炒货,特惠炒货,39,351.351,预付账款
2017/8/7,东北红松218g,Justin Hirsh,10021249089,华南,广东省,汕头市,韵达,坚果炒货,磕壳坚果,14,414.414,应收票据
2016/9/25,炭烧腰果120g,Roland Black,10021249162,华南,广西省,梧州市,圆通,坚果炒货,果果仁仁,32,373.184,应收票据
2016/1/16,小米锅巴（麻辣味）90g,Sanjit Jacobs,10021249181,华南,广东省,潮州市,圆通,坚果炒货,特惠炒货,6,27,应收票据
2017/7/21,精装纸皮核桃380g,Jay Kimmel,10021249194,东北,辽宁省,辽阳市,顺丰,坚果炒货,磕壳坚果,21,779.247,应收账款
2016/10/23,夏威夷果盐焗味200g,Brendan Dodson,10021249231,西南,重庆市,重庆市,顺丰,坚果炒货,磕壳坚果,5,98.505,预付账款
2016/9/28,甘草西瓜子218g,Craig Leslie,10021249256,华南,广东省,佛山市,圆通,坚果炒货,磕壳坚果,24,306.504,应收票据
2017/11/18,盐焗扁核仁210g,Brenda Bowman,10021249263,华南,广西省,南宁市,圆通,坚果炒货,果果仁仁,12,355.212,应收票据
2017/3/29,小米锅巴五香味90g*2,Jamie Frazer,10021249276,东北,辽宁省,盘锦市,圆通,坚果炒货,特惠炒货,34,323.136,应收账款
2016/8/25,西瓜子奶油味218g,Eric Barreto,10021249277,华东,浙江省,衢州市,顺丰,坚果炒货,磕壳坚果,47,557.796,应收账款
2017/3/11,精装纸皮核桃380g,Beth Fritzler,10021249412,华南,广西省,北海市,韵达,坚果炒货,磕壳坚果,36,1407.672,应收票据
2016/11/20,蟹黄风味豆瓣120g,Mark Cousins,10021249544,华北,天津市,天津市,顺丰,坚果炒货,果果仁仁,48,216,应收账款
2016/11/20,蟹黄风味豆瓣120g,Mark Cousins,10021249544,华北,天津市,天津市,顺丰,坚果炒货,果果仁仁,48,216,应收账款
2017/5/29,葵花籽奶油味190g,Alejandro Ballentine,10021249616,华北,山西省,长治市,申通,坚果炒货,磕壳坚果,20,143.78,应收账款
2016/10/2,奶油味黑葵花籽150g,Greg Guthrie,10021249653,华南,广东省,韶关市,圆通,坚果炒货,磕壳坚果,43,400.158,应收票据
2016/1/21,碧根果仁（芝麻味）125g,Roy Phan,10021249672,西北,甘肃省,武威市,顺丰,坚果炒货,果果仁仁,41,835.047,预付账款
2016/5/12,原味松子218g,Evan Bailliet,10021249674,华北,山西省,晋中市,顺丰,坚果炒货,果果仁仁,31,754.726,应收账款
2017/8/13,炒米（蛋黄味）240g,Cari MacIntyre,10021249689,华北,北京市,北京市,顺丰,坚果炒货,特惠炒货,45,551.475,应收账款
2016/11/21,精装纸皮核桃380g,Trudy Brown,10021249704,华北,内蒙古,包头市,申通,坚果炒货,磕壳坚果,23,844.284,应收账款
2016/11/21,精装纸皮核桃380g,Trudy Brown,10021249704,华北,内蒙古,包头市,申通,坚果炒货,磕壳坚果,23,844.284,应收账款
2016/9/16,青豌豆蒜香味120g,Alice McCarthy,10021249811,西北,甘肃省,平凉市,中通,坚果炒货,特惠炒货,6,37.674,预付账款
2017/11/11,爆米花（焦糖味）118g,Adam Hart,10021249859,西北,甘肃省,嘉峪关市,圆通,坚果炒货,特惠炒货,44,426.888,预付账款
2017/9/4,奶香夏威夷果280g,Max Jones,10021249869,西北,陕西省,西安市,申通,坚果炒货,磕壳坚果,6,177.606,预付账款
2016/10/9,原味松子218g,Aaron Hawkins,10021249927,华南,广东省,云浮市,顺丰,坚果炒货,果果仁仁,29,728.567,应收票据
2017/5/20,原生碧根果218g,Paul Knutson,10021249932,华东,安徽省,芜湖市,圆通,坚果炒货,果果仁仁,14,250.74,应收账款
2017/7/23,伊朗开心果190g,Liz MacKendrick,10021249969,华东,安徽省,芜湖市,圆通,坚果炒货,磕壳坚果,37,1106.3,应收账款
2017/3/7,炭烧腰果238g,Theresa Coyne,10021249998,华南,广东省,广州市,申通,坚果炒货,果果仁仁,45,989.46,应收票据
2017/12/14,炭烧腰果120g,Maria Bertelson,10021250042,华南,广西省,桂林市,申通,坚果炒货,果果仁仁,11,120.428,应收票据
2017/1/25,多味花生148g,Maribeth Dona,10021250050,华东,浙江省,杭州市,申通,坚果炒货,特惠炒货,11,52.283,应收账款
2017/3/2,葵花籽奶油味190g,Liz MacKendrick,10021250064,华北,北京市,北京市,申通,坚果炒货,磕壳坚果,32,235.104,应收账款
2017/2/1,鱼骨青豆80g,Cyra Reiten,10021250067,华南,广东省,汕尾市,圆通,坚果炒货,特惠炒货,4,36.036,应收票据
2016/3/9,沙拉薯条150g,Steven Ward,10021250096,华北,天津市,天津市,圆通,坚果炒货,特惠炒货,21,142.59,应收账款
2017/1/22,葵花籽奶油味190g,Barbara Fisher,10021250120,华南,广西省,北海市,顺丰,坚果炒货,磕壳坚果,24,172.536,应收票据
2017/6/25,话梅味西瓜子105g,Giulietta Dortch,10021250124,华南,广西省,北海市,韵达,坚果炒货,磕壳坚果,50,320.85,应收票据
2016/10/18,原生碧根果218g,Brian Moss,10021250162,华南,广东省,潮州市,申通,坚果炒货,果果仁仁,9,171.936,应收票据
2017/10/6,甘草西瓜子218g,Dave Kipp,10021250172,华南,广西省,百色市,中通,坚果炒货,磕壳坚果,33,404.415,应收票据
2017/7/21,东北红松330g,Rick Duston,10021250182,华南,广东省,清远市,顺丰,坚果炒货,磕壳坚果,29,1133.958,应收票据
2017/4/20,精装纸皮核桃380g,Melanie Page,10021250237,东北,辽宁省,本溪市,申通,坚果炒货,磕壳坚果,44,1632.708,应收账款
2016/3/22,蟹香腰果180g,David Philippe,10021250238,华南,广东省,佛山市,圆通,坚果炒货,果果仁仁,5,80.55,应收票据
2017/9/7,椰香玉米65g*5,Matt Connell,10021250271,西南,贵州省,安顺市,顺丰,坚果炒货,特惠炒货,48,507.504,预付账款
2017/9/14,精装纸皮核桃380g,Linda Southworth,10021250272,华南,河南省,郑州市,申通,坚果炒货,磕壳坚果,47,1725.276,应收票据
2017/9/26,盐焗腰果180g,Carlos Meador,10021250328,华北,山西省,运城市,顺丰,坚果炒货,果果仁仁,6,111.042,应收账款
2017/6/2,甘栗仁80g,Sanjit Jacobs,10021250351,华北,内蒙古,呼和浩特市,申通,坚果炒货,果果仁仁,26,165.048,应收账款
2017/9/28,奶香巴旦木238g,Olvera Toch,10021250352,华南,海南省,三沙市,顺丰,坚果炒货,磕壳坚果,48,1484.448,应收票据
2017/1/21,野山小核桃仁160g,Nick Zandusky,10021250381,华北,内蒙古,巴彦淖尔市,顺丰,坚果炒货,果果仁仁,13,703.248,应收账款
2017/12/5,东北红松330g,Jonathan Doherty,10021250396,华北,山西省,太原市,圆通,坚果炒货,磕壳坚果,11,416.955,应收账款
2017/8/28,东北红松218g,Carlos Soltero,10021250424,华北,山西省,太原市,中通,坚果炒货,磕壳坚果,19,556.738,应收账款
2016/5/4,手剥甘栗120g,Becky Pak,10021250469,华南,广东省,潮州市,申通,坚果炒货,磕壳坚果,2,20.9,应收票据
2017/1/22,淮盐花生米100g,Tamara Chand,10021250535,华北,北京市,北京市,EMS,坚果炒货,果果仁仁,17,79.135,应收账款
2017/2/26,肉松青豆120g,Dorothy Badders,10021250616,华东,安徽省,合肥市,中通,坚果炒货,特惠炒货,44,285.384,应收账款
2017/5/13,青豌豆蒜香味120g,Lena Creighton,10021250634,华南,湖南省,长沙市,申通,坚果炒货,特惠炒货,14,93.702,应收票据
2016/8/9,手造麻薯（榴莲味）150g,Paul Prost,10021250658,华南,广东省,潮州市,圆通,坚果炒货,果果仁仁,8,48,应收票据
2017/12/20,沙拉薯条150g,Liz Carlisle,10021250778,华南,湖北省,武汉市,圆通,坚果炒货,特惠炒货,7,48.02,应收票据
2016/8/1,原生碧根果218g,Ken Dana,10021250875,华南,海南省,三亚市,顺丰,坚果炒货,果果仁仁,26,486.356,应收票据
2016/11/28,小米锅巴五香味90g,Tim Brockman,10021250915,东北,吉林省,辽源市,申通,坚果炒货,特惠炒货,27,147.42,应收账款
2016/11/28,小米锅巴五香味90g,Tim Brockman,10021250915,东北,吉林省,辽源市,申通,坚果炒货,特惠炒货,27,147.42,应收账款
2017/5/7,奶香良品山核桃238g,Tony Sayre,10021250918,东北,辽宁省,鞍山市,圆通,坚果炒货,磕壳坚果,3,80.73,应收账款
2016/3/22,蟹黄风味豆瓣120g,David Philippe,10021250937,华南,广东省,佛山市,圆通,坚果炒货,果果仁仁,18,74.52,应收票据
2017/2/6,奶香夏威夷果280g,Alejandro Ballentine,10021250974,华东,浙江省,嘉兴市,申通,坚果炒货,磕壳坚果,27,750.789,应收账款
2016/9/1,淮盐花生米100g,Keith Dawkins,10021251012,西北,甘肃省,嘉峪关市,申通,坚果炒货,果果仁仁,21,94.668,预付账款
2017/1/16,炭烧腰果120g,Patrick Ryan,10021251030,西南,四川省,达州市,圆通,坚果炒货,果果仁仁,26,297.024,预付账款
2016/10/9,西瓜子奶油味218g,Allen Armold,10021251142,华北,山西省,长治市,申通,坚果炒货,磕壳坚果,25,290.25,应收账款
2016/9/14,烘烤薯片原味98g,Tracy Blumstein,10021251206,华北,山西省,晋中市,韵达,坚果炒货,果果仁仁,6,56.43,应收账款
2016/5/3,良品山核桃椒盐味238g,Jim Kriz,10021251256,华南,广东省,梅州市,顺丰,坚果炒货,磕壳坚果,49,1291.738,应收票据
2016/6/29,多味花生148g,Vivian Mathis,10021251274,东北,辽宁省,沈阳市,申通,坚果炒货,特惠炒货,14,65.17,应收账款
2017/3/7,碧根果仁（芝麻味）125g,Theresa Coyne,10021251296,华南,广东省,广州市,申通,坚果炒货,果果仁仁,8,169.944,应收票据
2016/10/7,盐焗扁核仁210g,Mathew Reese,10021251380,华南,广西省,柳州市,圆通,坚果炒货,果果仁仁,25,732.55,应收票据
2016/7/12,肉松青豆120g,Cynthia Arntzen,10021251412,华北,河北省,邢台市,圆通,坚果炒货,特惠炒货,5,33.81,应收账款
2017/1/12,野山小核桃仁160g,Clytie Kelty,10021251429,西北,甘肃省,嘉峪关市,圆通,坚果炒货,果果仁仁,2,115.248,预付账款
2017/7/3,奶香夏威夷果280g,Sara Luxemburg,10021251452,华南,广东省,广州市,圆通,坚果炒货,磕壳坚果,35,994.175,应收票据
2016/4/16,良品山核桃椒盐味238g,Denise Monton,10021251479,华北,河北省,承德市,圆通,坚果炒货,磕壳坚果,37,965.441,应收账款
2016/9/5,椰香玉米65g,Speros Goranitis,10021251489,华北,北京市,北京市,顺丰,坚果炒货,特惠炒货,16,37.6,应收账款
2017/1/11,瓜蒌子奶香味150g,David Bremer,10021251509,西南,重庆市,重庆市,EMS,坚果炒货,磕壳坚果,47,738.699,预付账款
2016/11/17,炭烧腰果120g,Clytie Kelty,10021251521,西南,四川省,资阳市,圆通,坚果炒货,果果仁仁,43,501.466,预付账款
2016/11/17,炭烧腰果120g,Clytie Kelty,10021251521,西南,四川省,资阳市,圆通,坚果炒货,果果仁仁,43,501.466,预付账款
2016/5/7,原生碧根果218g,John Lucas,10021251541,华南,广东省,潮州市,申通,坚果炒货,果果仁仁,26,517.4,应收票据
2017/10/1,椰香玉米65g*5,Gene Hale,10021251582,华南,广西省,桂林市,申通,坚果炒货,特惠炒货,22,230.208,应收票据
2017/8/27,甘草西瓜子218g,Randy Bradley,10021251691,东北,吉林省,通化市,韵达,坚果炒货,磕壳坚果,45,580.5,应收账款
2016/6/15,盐焗扁核仁210g,Chuck Sachs,10021251701,东北,吉林省,通化市,顺丰,坚果炒货,果果仁仁,41,1103.31,应收账款
2017/9/3,奶香巴旦木238g,John Dryer,10021251750,西北,陕西省,西安市,圆通,坚果炒货,磕壳坚果,5,149.695,预付账款
2016/6/17,东北红松330g,Bart Folk,10021251783,华北,北京市,北京市,韵达,坚果炒货,磕壳坚果,44,1685.376,应收账款
2017/12/25,奶香巴旦木238g,Paul Knutson,10021251786,西北,甘肃省,武威市,顺丰,坚果炒货,磕壳坚果,16,526.4,预付账款
2016/1/19,东北红松218g,Arthur Gainer,10021251834,华北,北京市,北京市,顺丰,坚果炒货,磕壳坚果,41,1176.864,应收账款
2017/5/7,碧根果仁（芝麻味）125g,Tony Sayre,10021251878,东北,吉林省,吉林市,圆通,坚果炒货,果果仁仁,12,247.032,应收账款
2017/9/13,甘栗仁100g,Luke Schmidt,10021251888,华南,海南省,三亚市,韵达,坚果炒货,果果仁仁,10,67.62,应收票据
2017/6/10,椰香玉米65g,Emily Phan,10021251890,西北,新疆,乌鲁木齐市,韵达,坚果炒货,特惠炒货,27,63.45,预付账款
2016/4/19,盐焗腰果180g,Sanjit Chand,10021251903,华北,山西省,吕梁市,中通,坚果炒货,果果仁仁,41,742.469,应收账款
2016/5/12,原生碧根果218g,Evan Bailliet,10021251934,华北,内蒙古,通辽市,顺丰,坚果炒货,果果仁仁,7,128.156,应收账款
2017/12/30,沙拉薯条150g,Dean Percer,10021251944,华北,山西省,太原市,韵达,坚果炒货,特惠炒货,21,141.12,应收账款
2016/10/18,肉松青豆120g,Khloe Miller,10021252059,华南,广东省,惠州市,韵达,坚果炒货,特惠炒货,41,277.242,应收票据
2017/8/24,精装纸皮核桃380g,John Lucas,10021252065,东北,辽宁省,营口市,顺丰,坚果炒货,磕壳坚果,19,727.776,应收账款
2017/5/5,话梅味西瓜子105g,Hilary Holden,10021252077,华东,浙江省,衢州市,顺丰,坚果炒货,磕壳坚果,21,143.451,应收账款
2017/3/28,多味葵花籽180g,Jeremy Pistek,10021252083,华北,山西省,朔州市,韵达,坚果炒货,磕壳坚果,4,28.2,应收账款
2016/5/26,西瓜子奶油味218g,Sara Luxemburg,10021252105,东北,黑龙江,佳木斯市,顺丰,坚果炒货,磕壳坚果,21,262.773,应收账款
2016/1/8,爆米花（焦糖味）118g,Sandra Flanagan,10021252113,华南,广西省,柳州市,圆通,坚果炒货,特惠炒货,3,29.7,应收票据
2017/2/14,自然开心果210g,Lisa DeCherney,10021252120,华东,安徽省,蚌埠市,申通,坚果炒货,磕壳坚果,29,1418.158,应收账款
2016/11/1,夏威夷果盐焗味200g,Eric Barreto,10021252125,华南,海南省,三亚市,顺丰,坚果炒货,磕壳坚果,25,472.625,应收票据
2016/11/1,夏威夷果盐焗味200g,Eric Barreto,10021252125,华南,海南省,三亚市,顺丰,坚果炒货,磕壳坚果,25,472.625,应收票据
2016/11/28,鱼骨青豆80g,Art Ferguson,10021252138,华南,广东省,东莞市,顺丰,坚果炒货,特惠炒货,46,450.846,应收票据
2016/11/28,鱼骨青豆80g,Art Ferguson,10021252138,华南,广东省,东莞市,顺丰,坚果炒货,特惠炒货,46,450.846,应收票据
2016/11/20,奶香良品山核桃238g,Christy Brittain,10021252150,西北,宁夏,银川市,圆通,坚果炒货,磕壳坚果,26,754.078,预付账款
2016/11/20,奶香良品山核桃238g,Christy Brittain,10021252150,西北,宁夏,银川市,圆通,坚果炒货,磕壳坚果,26,754.078,预付账款
2017/11/17,椰香玉米65g,Greg Guthrie,10021252182,华东,上海市,上海市,顺丰,坚果炒货,特惠炒货,42,105,应收账款
2016/7/17,奶香夏威夷果280g,Cindy Chapman,10021252197,华南,广西省,桂林市,申通,坚果炒货,磕壳坚果,42,1243.242,应收票据
2017/8/28,奶香良品山核桃238g,Bart Pistole,10021252238,东北,黑龙江,绥化市,中通,坚果炒货,磕壳坚果,4,114.816,应收账款
2017/3/26,甘草西瓜子218g,Lela Donovan,10021252248,华南,广东省,东莞市,圆通,坚果炒货,磕壳坚果,22,280.962,应收票据
2017/5/3,蟹黄风味豆瓣120g,Nathan Cano,10021252340,华南,广东省,潮州市,圆通,坚果炒货,果果仁仁,3,12.96,应收票据
2017/12/9,话梅味西瓜子105g,Doug Jacobs,10021252349,华北,河北省,石家庄市,圆通,坚果炒货,磕壳坚果,48,298.08,应收账款
2017/7/3,炭烧腰果238g,Sara Luxemburg,10021252363,华南,广东省,广州市,圆通,坚果炒货,果果仁仁,24,527.712,应收票据
2017/11/17,甘栗仁80g,Chad Sievert,10021252390,华北,内蒙古,呼伦贝尔市,顺丰,坚果炒货,果果仁仁,12,78.66,应收账款
2016/3/24,炭烧腰果120g,David Kendrick,10021252434,华南,广西省,贺州市,中通,坚果炒货,果果仁仁,6,68.544,应收票据
2016/6/29,小米锅巴（麻辣味）90g,Vivian Mathis,10021252516,东北,黑龙江,哈尔滨市,申通,坚果炒货,特惠炒货,23,103.5,应收账款
2017/12/26,奶香良品山核桃238g,Ionia McGrath,10021252542,华南,广西省,柳州市,顺丰,坚果炒货,磕壳坚果,15,448.5,应收票据
2016/2/26,瓜蒌子奶香味150g,Sean O'Donnell,10021252550,华南,广东省,汕头市,申通,坚果炒货,磕壳坚果,22,360.646,应收票据
2016/6/2,蟹香腰果180g,Elpida Rittenbach,10021252571,东北,辽宁省,大连市,顺丰,坚果炒货,果果仁仁,50,805.5,应收账款
2017/5/28,烘烤薯片番茄味98g,Aaron Hawkins,10021252602,华南,广东省,云浮市,顺丰,坚果炒货,特惠炒货,3,27.918,应收票据
2016/3/10,青豌豆蒜香味120g,Nora Price,10021252605,华东,福建省,厦门市,申通,坚果炒货,特惠炒货,6,39.744,预付账款
2017/5/30,蛋花玉米65g,Jack O'Briant,10021252618,西北,新疆,乌鲁木齐市,顺丰,坚果炒货,特惠炒货,37,88.8,预付账款
2017/11/17,小米锅巴孜然味90g,Anthony Rawles,10021252664,华南,广西省,钦州市,EMS,坚果炒货,特惠炒货,37,179.45,应收票据
2016/3/24,小米锅巴孜然味90g,Michael Oakman,10021252673,华南,海南省,三亚市,顺丰,坚果炒货,特惠炒货,32,147.2,应收票据
2017/11/21,西瓜子话梅味218g,Caroline Jumper,10021252714,华南,广东省,揭阳市,顺丰,坚果炒货,磕壳坚果,19,299.079,应收票据
2017/11/25,野山小核桃仁160g,Matthew Grinstein,10021252723,华北,内蒙古,包头市,申通,坚果炒货,果果仁仁,47,2653.056,应收账款
2017/7/15,小米锅巴孜然味90g,Sanjit Chand,10021252748,西北,陕西省,西安市,韵达,坚果炒货,特惠炒货,35,162.75,预付账款
2017/5/25,淮盐花生米100g,Max Jones,10021252839,华南,广东省,江门市,顺丰,坚果炒货,果果仁仁,14,61.74,应收票据
2017/8/13,原味松子218g,Cari MacIntyre,10021252842,华北,北京市,北京市,顺丰,坚果炒货,果果仁仁,11,256.41,应收账款
2017/8/4,椰香玉米65g,Jack Garza,10021252864,华东,安徽省,芜湖市,圆通,坚果炒货,特惠炒货,36,87.3,应收账款
2017/2/6,甘栗仁100g,Troy Blackwell,10021252915,华南,广东省,广州市,圆通,坚果炒货,果果仁仁,42,263.718,应收票据
2017/9/29,爆米花（奶油味）118g,Julia Barnett,10021252919,华南,广东省,佛山市,申通,坚果炒货,特惠炒货,50,413.85,应收票据
2016/3/15,精装纸皮核桃380g,Chuck Sachs,10021252935,华南,湖北省,十堰市,申通,坚果炒货,磕壳坚果,2,75.012,应收票据
2016/11/23,甘栗仁80g,Janet Martin,10021252959,华东,福建省,漳州市,顺丰,坚果炒货,果果仁仁,39,261.027,应收账款
2016/11/23,甘栗仁80g,Janet Martin,10021252959,华东,福建省,漳州市,顺丰,坚果炒货,果果仁仁,39,261.027,应收账款
2016/7/26,东北红松330g,Meg O'Connel,10021252977,华东,浙江省,杭州市,申通,坚果炒货,磕壳坚果,10,395.01,应收账款
2017/10/9,沙拉薯条150g,Rob Williams,10021252989,华东,浙江省,衢州市,圆通,坚果炒货,特惠炒货,9,57.33,应收账款
2017/6/24,西瓜子话梅味218g,Jamie Kunitz,10021253008,西北,新疆,乌鲁木齐市,申通,坚果炒货,磕壳坚果,26,400.998,预付账款
2016/9/17,甘草西瓜子90g,Linda Cazamias,10021253024,华南,广东省,惠州市,顺丰,坚果炒货,磕壳坚果,35,166.355,应收票据
2016/1/14,烘烤薯片番茄味98g,Adam Hart,10021253025,华东,浙江省,台州市,顺丰,坚果炒货,特惠炒货,36,345.708,应收账款
2017/7/27,葵花籽奶油味190g,Stewart Visinsky,10021253049,华南,河南省,三门峡市,圆通,坚果炒货,磕壳坚果,6,45.504,应收票据
2016/6/3,椰香玉米65g,Bruce Stewart,10021253084,华北,山西省,长治市,申通,坚果炒货,特惠炒货,23,55.775,应收账款
